Celltype,Reporter,m,c
Sensitive,GFP,0.231991525422053,18.2293220339361
Sensitive,RFP,0.191259416194093,86.2118644069649
Resistant,GFP,0.174183144699356,29.9157634236693
Resistant,RFP,0.341564265535287,35.2584745763455
