t,GFP,RFP
1,1.0,1.0
2,1.3153191793552077,1.283987915407855
3,1.4280267829485072,1.4782477341389728
4,1.6703600447971025,1.8105740181268881
5,2.17313603545643,1.6525679758308156
6,3.4450878070865207,3.414501510574018
7,4.63364071770677,4.170996978851964
8,9.107632187194701,7.262235649546828
10,18.645602497200183,13.589728096676737
12,29.788166893035008,20.951661631419938
14,37.81876236090262,27.21087613293051
16,46.6151976553006,24.65015105740181
18,50.76703123883052,26.385498489425984
20,58.30485857935998,31.410876132930515
29,40.622393785593445,16.995770392749247
