t,GFP,RFP
1,1.0,1.0
2,0.7639277063536428,1.2477777777777779
3,0.9558412520961436,1.6425555555555555
4,1.1924725172349546,2.090333333333333
5,1.2483696664803432,2.08
6,2.120365194708404,3.2946666666666666
7,2.3961244643189867,4.098444444444445
8,4.065585988447923,7.032
10,8.254145705235702,14.691333333333334
12,14.574250046580962,24.897777777777776
14,18.75163033351966,35.199777777777776
16,25.89901248369667,32.794666666666664
18,29.297559157816295,38.24066666666666
20,32.56567915036334,45.1458201058201
29,26.159865846841818,34.05733333333333
