t,GFP,RFP
1,1.0,1.0
2,1.0750823651812036,1.3640040444893833
3,1.3750650251430558,1.6504550050556117
4,1.4739032425871341,2.1903943377148636
5,2.496965493324086,2.8058645096056622
6,3.499219698283337,4.17108190091001
7,3.565111843246056,5.650758341759353
8,6.263221779087915,9.550859453993933
10,9.450320790705742,16.99716885743175
12,15.349401768683895,25.96865520728008
14,14.537887983353567,34.990697674418605
16,16.004855210681466,32.559352881698686
18,16.427952141494714,37.59647945583234
20,16.244147737125026,41.30451634647792
29,19.59424310733484,29.77143359563898
