t,GFP,RFP
1,1.0,1.0
2,1.2319465175436752,0.0
3,1.4554207749069734,9.886666666666667
4,1.4316648096369333,0.0
5,1.2151281350516114,2.1333333333333333
6,1.4459604347551875,8.946666666666665
7,1.8744087287405136,12.640000000000002
8,3.948535749574285,9.65333333333333
10,10.717514243067674,42.413333333333334
12,25.349927470725508,96.86666666666666
14,33.87306325814115,166.45333333333335
16,44.4783147980743,174.94666666666666
18,49.335463661782335,204.17333333333332
20,58.05453360523052,263.1333333333333
29,43.429268190131815,216.90666666666667
