t,GFP,RFP
1,1.0,1.0
2,1.4170425285568633,1.1132075471698113
3,1.5903710232083916,1.5108490566037736
4,1.8075932742322913,1.685377358490566
5,2.0218777541604025,1.2688679245283019
6,3.466224272901654,2.689622641509434
7,3.5833894966042825,3.130188679245283
8,9.152366633832754,6.777358490566037
10,20.51946705376121,16.595283018867924
12,26.832564328546496,31.55188679245283
14,27.268391311109962,47.41415094339622
16,25.2855686315171,40.76981132075472
18,24.019562099296664,63.22452830188679
20,22.293880795617536,91.34433962264151
29,28.76941953099349,97.44451114922812
