t,GFP,RFP
1,1.0,1.0
2,1.4274111324243526,0.49159663865546216
3,1.6733198541483056,0.8457983193277311
4,1.406673924689374,0.6021008403361345
5,3.2038985950541763,0.5714285714285714
6,7.796844488222995,1.488235294117647
7,8.702023605854807,1.4184873949579833
8,16.75082516805779,1.4865546218487393
10,28.779788134860976,2.1142857142857143
12,46.7541085592825,2.9285714285714284
14,51.479081341697345,2.4613445378151257
16,57.46625883491455,2.509243697478992
18,57.66740974994384,2.746218487394958
20,65.09704856119912,3.4201680672268906
29,66.4852160989856,2.4857142857142858
