t,GFP,RFP
1,1.0,1.0
2,1.2957820970514347,0.2972972972972973
3,1.6620388734629117,2.233783783783784
4,2.1331922958261713,0.3013513513513515
5,3.0029235899922138,1.2162162162162162
6,5.312118941631041,1.462162162162162
7,5.073824320155142,1.3864864864864868
8,9.780363465409083,4.943243243243242
10,25.75550560477177,8.94864864864865
12,38.809114548900354,22.364864864864863
14,39.31626191840393,41.362162162162164
16,37.50128549811215,41.056756756756755
18,38.963668150498776,72.88648648648649
20,41.12683091659689,111.14864864864865
29,19.567995983497077,81.33243243243244
