t,GFP,RFP
1,578.67,212.0
2,820.0,236.0
3,920.3,320.3
4,1046.0,357.3
5,1170.0,269.0
6,2005.8,570.2
7,2073.6,663.6
8,5296.2,1436.8
10,11874.0,3518.2
12,15527.2,6689.0
14,15779.4,10051.8
16,14632.0,8643.2
18,13899.4,13403.6
20,12900.8,19365.0
29,16648.0,20658.236363636363
