t,GFP,RFP
1,1.0,1.0
2,1.2866380017724097,1.1509121061359868
3,1.353267469721338,1.4698175787728025
4,1.5262415072045166,1.8313432835820895
5,2.8489841467817643,2.9767827529021558
6,4.571503594052582,5.207628524046434
7,6.415465913939673,7.122056384742953
8,11.406439754488463,12.153897180762852
10,19.286441067384384,20.73001658374793
12,29.26838874848197,27.850746268656717
14,35.75803328191158,36.19701492537313
16,44.85508911281059,37.413266998341626
18,48.99530639708538,42.46865671641791
20,50.80841566284833,48.79767827529022
29,47.154654858214386,18.913101160862354
