t,GFP,RFP
1,1.0,1.0
2,1.2417306399688686,1.164179104477612
3,1.6354759967453216,1.5575870646766168
4,0.9445643329677718,1.6210199004975123
5,1.5636608058867232,1.6467661691542288
6,2.3943113878374076,2.362189054726368
7,2.8888810273463763,2.561691542288557
8,5.533661159656137,4.369154228855722
10,12.565889553189233,11.155721393034828
12,20.62546432235469,21.28731343283582
14,21.85375172462589,31.838059701492536
16,22.77213712102452,32.2589552238806
18,20.095517741536067,37.33407960199005
20,20.104008207450388,45.33175033921302
29,20.837018431386426,28.11230386528894
