t,GFP,RFP
1,1.0,1.0
2,1.5148804198723684,0.8666666666666667
3,1.5822747062682652,1.0167676767676768
4,1.2584242857994872,1.045050505050505
5,3.1967555316991714,0.9333333333333333
6,4.82376095902666,1.2408080808080808
7,6.593904693743663,1.374949494949495
8,15.692729766803842,2.367272727272727
10,40.8719508558478,4.632727272727272
12,116.39052901532774,9.484848484848484
14,146.134669290869,12.99959595959596
16,173.22717242201946,13.523636363636363
18,160.03697739607566,15.70020202020202
20,205.87479735627886,24.74949494949495
29,190.67215363511662,20.362828282828282
