t,GFP,RFP
1,304.66999999999996,603.0
2,392.0,694.0
3,412.3,886.3
4,465.0,1104.3
5,868.0,1795.0
6,1392.8,3140.2
7,1954.6,4294.6
8,3475.2,7328.8
10,5876.0,12500.2
12,8917.2,16794.0
14,10894.4,21826.8
16,13666.0,22560.2
18,14927.4,25608.6
20,15479.8,29425.0
29,14366.608695652174,11404.6
