t,GFP,RFP
1,1.0,1.0
2,1.4658024995214265,0.883054892601432
3,1.414663494407526,0.9577565632458234
4,1.3837613148467198,0.8360381861575179
5,2.3983372986572595,0.7446300715990454
6,2.613832143736156,0.7570405727923627
7,4.161128886701124,1.039618138424821
8,10.597533295047448,1.8133651551312648
10,24.76276424098231,3.4921241050119334
12,55.022834796401135,6.202863961813843
14,68.11988951787131,7.214319809069213
16,76.73585473240901,5.85489260143198
18,74.24016189460444,7.013365155131265
20,83.45995022834798,9.489260143198091
29,80.06125741789046,10.278281622911695
