t,GFP,RFP
1,1.0,1.0
2,1.3711633793903597,1.0526315789473684
3,1.620232947097202,1.7390977443609024
4,1.4630765289978453,0.355639097744361
5,1.939216779423509,0.17293233082706766
6,2.8731146503533385,0.700751879699248
7,3.4634682899633855,1.0496240601503761
8,7.4497867916283695,1.058646616541353
10,16.31985776063405,3.843609022556391
12,33.5727093284313,8.857142857142858
14,38.72165383398376,13.630075187969924
16,39.92646948031401,15.813533834586465
18,44.025494598219,27.094736842105263
20,48.66093088432504,39.99248120300752
29,13.163168442147454,26.470676691729324
