t,GFP,RFP
1,1.0,1.0
2,1.6027009986372975,1.2654320987654322
3,1.7009376207618931,0.9771604938271605
4,2.0318506315211424,1.1993827160493828
5,4.61488396688836,1.7037037037037037
6,10.777147273577807,3.7419753086419756
7,10.178778448959669,2.806172839506173
8,21.622633066894466,4.98641975308642
10,43.325807960624,7.420987654320988
12,73.85888909227734,11.080246913580247
14,69.29322513067709,12.171604938271605
16,69.06258262655847,9.914814814814815
18,67.04513559538272,13.923456790123456
20,65.60050440335998,13.864197530864198
29,66.64022616795819,11.145679012345678
