t,GFP,RFP
1,1.0,0.0
2,1.3790185207286774,0.0
3,1.6158711903392755,0.0
4,1.8878774398645937,0.0
5,3.249536168042792,0.0
6,5.4073583820673345,0.0
7,6.6288367854004155,0.0
8,12.787874184903492,0.0
10,25.921425238968396,0.0
12,36.69556348801632,0.0
14,36.80210921479489,0.0
16,33.53803422049106,0.0
18,31.388023913114242,0.0
20,37.51966797330106,0.0
29,19.88145037121352,0.0
