t,GFP,RFP
1,1.0,1.0
2,1.2766764278340743,1.1458333333333333
3,1.7344681568247415,2.7770833333333336
4,2.073019150146418,1.1729166666666668
5,2.6291950196978955,1.1458333333333333
6,3.9897191733204123,4.2749999999999995
7,5.5145680156740475,4.741666666666667
8,11.0312427581267,10.6625
10,22.99070933490636,20.670833333333334
12,36.423620620641714,28.354166666666668
14,44.75614637537659,37.99583333333333
16,53.82265573977711,36.5875
18,57.57136536962522,41.09583333333333
20,64.54968715107339,45.333333333333336
29,48.321992120841855,42.11666666666667
