t,GFP,RFP
1,1.0,1.0
2,1.1886472062747635,1.16158940397351
3,1.441740114821703,1.4732450331125828
4,1.8112719333710683,2.042781456953642
5,2.878628608393305,2.866225165562914
6,3.887765828414329,4.220132450331126
7,5.422495350529636,5.722649006622517
8,9.559311069782487,10.287152317880794
10,19.01026926497938,19.80291390728477
12,29.547990620198917,27.698013245033113
14,37.425406323279695,39.864635761589405
16,45.904423061373016,36.99099337748344
18,51.21209670898359,40.821986754966886
20,57.765019810786775,49.29271523178808
29,43.349235869653114,33.694834437086094
