t,GFP,RFP
1,167.67,495.0
2,254.0,429.0
3,265.3,503.3
4,211.0,517.3
5,536.0,462.0
6,808.8,614.2
7,1105.6,680.6
8,2631.2,1171.8
10,6853.0,2293.2
12,19515.2,4695.0
14,24502.4,6434.8
16,29045.0,6694.2
18,26833.4,7771.6
20,34519.027272727275,12251.0
29,31970.0,10079.6
