t,GFP,RFP
1,630.67,0.0
2,755.0,0.0
3,760.3,0.0
4,912.0,0.0
5,1114.0,0.0
6,1580.8,0.0
7,1964.6,0.0
8,3595.2,0.0
10,7946.0,0.0
12,15557.2,0.0
14,20415.4,0.0
16,25121.0,0.0
18,28001.4,0.0
20,30847.8,0.0
29,29676.0,0.0
