t,GFP,RFP
1,1.0,1.0
2,1.5797095089736277,0.7678571428571429
3,1.850746705281788,1.3508928571428573
4,1.7113519680547633,0.44017857142857153
5,3.8220193953223047,0.24107142857142858
6,8.07962906080419,1.1089285714285713
7,8.760951921248557,1.7375000000000003
8,16.06944871063525,1.953571428571428
10,25.896997089238962,3.242857142857143
12,40.24701721718017,4.375
14,48.68864396184023,4.525
16,51.45700220230839,2.992857142857143
18,48.52202403778584,2.255357142857143
20,59.77594071892046,2.6339285714285716
29,56.77300451972443,2.5589285714285714
