t,GFP,RFP
1,561.67,102.0
2,830.0,64.0
3,895.3,0.0
4,902.0,24.30000000000001
5,1700.0,74.0
6,4109.8,111.19999999999999
7,4582.6,201.60000000000002
8,9240.2,337.79999999999995
10,22695.0,665.2
12,32914.2,1027.0
14,36698.4,1065.8
16,36695.0,947.2
18,34691.4,749.6
20,38289.43636363636,906.0
29,24116.0,326.6
