t,GFP,RFP
1,1.0,1.0
2,1.313790329788185,1.0688665710186513
3,1.5738671909911521,1.4265423242467719
4,1.9691959364852387,2.1037302725968434
5,2.928471415378199,2.520803443328551
6,4.167188012035631,4.031850789096126
7,5.882563231745465,5.551793400286944
8,10.644978699317782,9.034146341463416
10,18.744600351535738,14.815208034433287
12,28.674591116274918,19.21377331420373
14,35.738671909911524,26.223529411764705
16,43.82280215688027,22.815208034433287
18,46.865671641791046,26.11850789096126
20,52.095212559954724,29.857962697274033
29,35.68683528465458,18.003730272596844
