t,GFP,RFP
1,1.0,1.0
2,0.9065435965056867,0.8985024958402662
3,1.010384044832702,0.9472545757071547
4,0.807647931432339,0.7026622296173045
5,1.648261084555794,1.0016638935108153
6,3.441569144552498,0.9653910149750417
7,4.031646612823472,1.1557404326123129
8,7.667710565353554,2.0795341098169717
10,14.669523652546566,3.5161397670549084
12,50.357672655348615,8.793677204658902
14,118.23636063952532,17.22096505823627
16,201.5823306411736,19.662562396006656
18,291.4026701829571,29.320465890183026
20,316.44634910169776,35.881863560732114
29,333.5750782924016,32.36539101497504
