t,GFP,RFP
1,1.0,1.0
2,1.3354936907742918,0.740041928721174
3,1.19948937005941,0.8979035639412998
4,1.1194579466784504,0.749056603773585
5,2.3960327981538767,0.7714884696016772
6,4.953110423724652,2.1178197064989517
7,5.389109834536259,2.0536687631027255
8,12.207001522070016,2.611740041928721
10,35.59188883978986,6.70482180293501
12,93.44626110865617,15.023060796645701
14,115.49761869691169,22.84444444444444
16,125.70334364413021,21.939622641509434
18,121.34531349732411,26.718238993710692
20,141.1636470761526,34.259958071278824
29,132.79324397309375,29.16268343815514
