t,GFP,RFP
1,1.0,1.0
2,1.3663480659439349,1.168503937007874
3,1.5081146962601835,1.3469291338582676
4,1.9180191160433642,1.8288188976377953
5,3.0427438150832855,2.6992125984251967
6,4.224773879017256,4.1593700787401575
7,6.067526247140078,5.8859842519685035
8,9.731648384544657,9.90992125984252
10,15.440374623131698,16.38771653543307
12,15.2654649646118,26.46771653543307
14,14.91307973571108,35.98393700787401
16,14.531614172386513,34.820787401574805
18,13.298693523210812,42.68283464566929
20,13.889708555177798,53.114960629921256
29,9.104710586524687,18.442414698162732
