t,GFP,RFP
1,419.66999999999996,331.0
2,552.0,425.0
3,599.3,489.3
4,701.0,599.3
5,912.0,547.0
6,1445.8,1130.2
7,1944.6,1380.6
8,3822.2,2403.8
10,7825.0,4498.2
12,12501.2,6935.0
14,15871.4,9006.8
16,19563.0,8159.2
18,21305.4,8733.6
20,24468.8,10397.0
29,17048.0,5625.6
