t,GFP,RFP
1,1.0,1.0
2,1.5251793562283948,1.0863787375415281
3,1.6090815918842392,1.3764119601328904
4,1.4782774853648792,1.4229235880398672
5,2.5743915785085205,1.3953488372093024
6,3.221984817690691,2.342857142857143
7,4.274323831361718,2.716279069767442
8,9.134052495353242,6.424584717607973
10,20.6246634356489,13.967441860465115
12,25.64351103931072,29.757475083056477
14,24.657182066114267,41.99933554817275
16,22.52158354612886,36.924252491694354
18,23.12505428457276,52.669767441860465
20,24.854169923741033,70.22591362126246
29,13.130786735456079,56.560132890365445
