t,GFP,RFP
1,1.0,1.0
2,1.3263558974606315,1.1330935251798562
3,1.4862420720090674,1.5622302158273382
4,1.6543275375599875,1.8356115107913669
5,2.052234306798177,1.870503597122302
6,3.1080136011768396,3.162589928057554
7,3.88646393517737,4.49136690647482
8,7.587238044710252,8.718705035971224
10,16.51433670147346,18.158992805755396
12,27.52598451780935,30.402877697841728
14,34.618853546193364,38.7546762589928
16,42.60013987025828,35.525899280575544
18,45.3912749897509,38.91942446043166
20,52.37610630139629,47.410071942446045
29,75.22587369107546,59.21062786134728
