t,GFP,RFP
1,210.67,726.0
2,275.0,829.0
3,324.3,868.3
4,356.0,1115.3
5,444.0,918.0
6,364.8,1232.2
7,484.6,1557.6
8,1127.2,3128.8
10,2714.0,7486.2
12,4100.2,15686.0
14,4297.4,23582.8
16,4176.0,22942.2
18,4037.4,28057.6
20,3281.8,34574.0
29,1927.0,28759.6
