t,GFP,RFP
1,1.0,1.0
2,1.3053590924194238,1.1418732782369145
3,1.539374376987706,1.1960055096418731
4,1.689846679641145,1.5362258953168044
5,2.1075615892153605,1.2644628099173554
6,1.7316181705985667,1.697245179063361
7,2.3002800588598284,2.1454545454545455
8,5.350548250818817,4.309641873278237
10,12.882707552095695,10.311570247933885
12,19.462666729956805,21.606060606060606
14,20.398727868229933,32.4831955922865
16,19.822471163430958,31.600826446280994
18,19.16457018085157,38.64683195592286
20,15.577918070916601,47.62258953168044
29,9.147007167608107,39.613774104683195
