t,GFP,RFP
1,375.66999999999996,476.0
2,576.0,292.0
3,541.3,397.3
4,626.0,282.3
5,1569.0,461.0
6,3393.8,543.2
7,4678.6,835.6
8,6806.2,857.8
10,16006.0,1241.2
12,26870.2,1602.0
14,29214.4,1931.8
16,30837.0,1822.2
18,30664.4,1711.6
20,37280.8,3095.0
29,36551.0,2384.6
