t,GFP,RFP
1,1.0,1.0
2,0.7030700726505744,1.2578199052132701
3,0.5694867588469655,1.3671090047393364
4,0.8202484180923367,1.8656872037914691
5,0.9842981017108041,2.2018957345971564
6,1.424888680571831,3.530047393364929
7,1.6545582376376848,4.438483412322276
8,3.3325521443637225,8.177061611374407
10,6.819779704710571,16.69687203791469
12,12.613077103351305,25.93270142180095
14,15.875322240449968,35.69838862559242
16,21.748300913991102,33.276966824644546
18,24.687133817670503,37.11196373377292
20,31.610030466369825,41.878174108256424
29,25.24021560815562,28.80436018957346
