,t,GFP,RFP
1,1.5,4.878251325484447,10.113971613088838
2,2.5,7.169403544061904,27.771184468146036
3,3.5,12.040817916997932,4.8122830760551984
4,4.5,4.801712270184774,-6.115669219923005
5,5.5,-5.375559463870571,3.9632555080869136
6,6.5,3.665250881987137,4.508935328040233
7,7.5,1.0589936881462052,1.3238965234324582
8,9.0,1.7725217970197138,1.8329911316317766
9,11.0,3.573309619861068,2.0021815951922894
10,13.0,30.99292307729898,3.529032181758508
11,15.0,-50.782381397986214,-51.90937546618236
12,17.0,-43.17916038173366,7.084735698290089
13,19.0,-7.078147302041028,6.7929904645552925
14,24.5,-12.708120770763076,-34.66102628711283
