,t,GFP,RFP
1,1.5,4.120953357220198,8.568975703937491
2,2.5,11.913125342560528,8.766222745371476
3,3.5,4.579047892811871,3.7116006469808274
4,4.5,2.1260968940140406,2.5838564868170333
5,5.5,2.702455709666752,2.083434390489014
6,6.5,2.294437157859561,2.401145167986361
7,7.5,1.6594908883560175,1.5062375494988445
8,9.0,3.250069360907048,2.9742970531302726
9,11.0,-129.60830501035696,3.031825838166333
10,13.0,-63.29316347387519,4.660246693791067
11,15.0,-57.134204914802034,-43.382291794165006
12,17.0,-16.761025551895084,6.986425403571295
13,19.0,34.22771373971295,6.473308532907669
14,24.5,-16.091902239647055,-6.094174960455463
