,t,GFP,RFP
1,1.5,7.373190093467213,inf
2,2.5,181.5677216990281,inf
3,3.5,6.696211404337098,inf
4,4.5,5.633018985842337,inf
5,5.5,2.9235364429469985,inf
6,6.5,4.3312737199036775,inf
7,7.5,1.4217394653075226,inf
8,9.0,1.9585392412196467,inf
9,11.0,2.1823967520537155,inf
10,13.0,5.282094327018336,inf
11,15.0,6.870134046050012,inf
12,17.0,13.074802504660694,inf
13,19.0,14.62699928193881,inf
14,24.5,-164.44339576038388,inf
