,t,GFP,RFP
1,1.5,5.1752336596761355,9.528476448918681
2,2.5,24.13283801830499,5.013639213286232
3,3.5,9.772566810413407,5.074025205659273
4,4.5,1.6461307399596679,2.04033716605639
5,5.5,1.8741016220488034,1.556564442656872
6,6.5,2.4244151209319407,2.578630062269045
7,7.5,1.3468377649321315,1.4376628995403513
8,9.0,2.8191781082347527,2.761671948090704
9,11.0,3.4644267208230133,4.890939850675102
10,13.0,7.136543884637555,5.455861622354307
11,15.0,6.269154647322343,43.086901354916115
12,17.0,16.03710303653152,11.212594735170596
13,19.0,38.91519544031555,10.19872380429908
14,24.5,-85.2989989510273,-6.806010584930643
