,t,GFP,RFP
1,1.5,4.7560585071388575,20.47476752846835
2,2.5,6.507049730848766,4.3466653245202025
3,3.5,4.851197150875902,2.8160989192981742
4,4.5,2.4758863312302504,5.497480743879746
5,5.5,2.529012098069177,1.9410523579262842
6,6.5,2.4179903453166274,2.626045437400462
7,7.5,1.3180611586201336,1.626132299194499
8,9.0,2.62553273917289,3.0469474462332005
9,11.0,3.402691618267779,5.649300645313917
10,13.0,6.4920031470040875,4.656409777365701
11,15.0,6.9702593520730245,-10.364253403007151
12,17.0,21.106283877786165,10.672663293759866
13,19.0,13.369839215434462,10.731627955948248
14,24.5,-16.87544325972789,-12.868905399765621
