,t,GFP,RFP
1,1.5,2.9325901730257127,-3.227313267658025
2,2.5,-18.661291835632433,5.3945862205366275
3,3.5,7.845546216681254,-4.9089724991876755
4,4.5,1.0448031797074366,3.2756778547946017
5,5.5,1.0472999056349577,8.242920196188885
6,6.5,2.363278181220513,2.7480784985110596
7,7.5,1.972943823944451,41.2974888745956
8,9.0,1.681165325731041,5.4867317648217195
9,11.0,2.724962250792939,7.269090709373868
10,13.0,16.796059241946534,9.41088306293232
11,15.0,25.967731543372224,-29.75694150546078
12,17.0,-250.00116248809871,-28.107499738327967
13,19.0,7.174477270984936,2.8289376747808976
14,24.5,-318.757871286166,-28.12408988964373
