,t,GFP,RFP
1,1.5,7.689975766276983,8.921202852821565
2,2.5,6.334316298245857,5.146344754697334
3,3.5,4.918516032615756,3.3446433725682643
4,4.5,2.1536702855690706,2.8940633071435693
5,5.5,2.997345598322283,2.3086117490126696
6,6.5,2.5383366698114638,2.7401508268956847
7,7.5,1.3940976541114858,1.337649811850005
8,9.0,2.168668472375066,2.2673061559257826
9,11.0,3.2768786933052456,4.30881037848438
10,13.0,6.042605875760637,3.92232223320051
11,15.0,6.952568835845012,-19.012230995085513
12,17.0,12.931581810643463,14.429581004681149
13,19.0,11.725147732765578,7.516314751370055
14,24.5,-22.164845844749028,-16.802688714751195
