,t,GFP,RFP
1,1.5,-5.518502917054723,5.93473876359909
2,2.5,6.711506547240863,4.283858965316737
3,3.5,6.069085075168833,4.428135955113767
4,4.5,27.532662326753236,-206.94895910333125
5,5.5,2.1148998446521117,2.085002164377074
6,6.5,8.18501760692918,4.040224764454706
7,7.5,1.7335834592281298,1.5250827453165878
8,9.0,2.3005147616544845,2.0701002762790517
9,11.0,2.6631478494381913,2.766786096770984
10,13.0,5.83415175399665,4.13947949915497
11,15.0,4.488517005263803,-20.164287198993133
12,17.0,11.651727853963388,9.278418867306783
13,19.0,13.533149203233707,8.552475467571538
14,24.5,-29.458891242035882,-22.69954523975209
