,t,GFP,RFP
1,1.5,-4.31290646691531,5.716558805257315
2,2.5,-8.485727216308662,14.663674893649208
3,3.5,4.676338940003516,3.6264074802367046
4,4.5,8.032552845514696,6.248235481737361
5,5.5,3.4567420138036713,1.9976036162838178
6,6.5,7.6597083432921655,3.792500890328877
7,7.5,1.4149368538462004,1.3248052984667018
8,9.0,2.347663484973488,2.1110626140955207
9,11.0,2.5006459775440613,3.301067816089905
10,13.0,6.453239944787883,4.480710574032037
11,15.0,4.6420541924524965,-20.309255735177288
12,17.0,11.409850851359016,13.071511417087098
13,19.0,5.809396045733456,11.764738617395512
14,24.5,-28.704818062312107,-17.15200261766423
