,t,GFP,RFP
1,1.5,3.5788613614264775,-2.3632697835800793
2,2.5,7.183186516048698,3.253222990322551
3,3.5,-6.596663990674414,-4.895242582988739
4,4.5,1.2427189372718253,-35.857381059107475
5,5.5,0.9387395129108936,1.5081904839045317
6,6.5,7.0771617899278745,-24.379601054639085
7,7.5,1.1474094120591476,24.97308871638995
8,9.0,2.67935825622033,6.1585231289613125
9,11.0,2.9356015398819872,5.968305606091108
10,13.0,14.693176680029605,-10.94857113047299
11,15.0,12.83187948156888,100.86956778786204
12,17.0,403.631235307422,21.214553401876344
13,19.0,11.62611196017027,8.379905253150701
14,24.5,300.1437183498991,-26.266106184076218
